"0 nothing
","1 someone
"
1,[0.00002733 0.9999727 ]
1,[0.00001579 0.99998426]
1,[0.00000406 0.99999595]
1,[0.00004401 0.999956  ]
1,[0.00001029 0.99998975]
1,[0.00000145 0.99999857]
1,[0.0000005 0.9999995]
1,[0.00000003 1.        ]
1,[0.00000186 0.9999981 ]
1,[0.00049853 0.99950147]
1,[0.00224555 0.9977545 ]
1,[0.16029811 0.83970183]
1,[0.03226003 0.96773994]
1,[0.27219427 0.72780573]
1,[0.08187861 0.9181214 ]
1,[0.25117892 0.7488211 ]
1,[0.3715557 0.6284443]
1,[0.16832541 0.83167464]
1,[0.40754747 0.5924525 ]
1,[0.08679878 0.9132012 ]
1,[0.0304745 0.9695255]
1,[0.08690563 0.91309434]
1,[0.03013245 0.9698676 ]
1,[0.33791515 0.6620848 ]
0,[0.59828115 0.40171888]
0,[0.72720283 0.2727972 ]
0,[0.7314252  0.26857474]
0,[0.6582579  0.34174207]
0,[0.64756477 0.3524352 ]
0,[0.57719356 0.42280644]
0,[0.6252673  0.37473264]
0,[0.5097037  0.49029627]
0,[0.5856212  0.41437876]
1,[0.19197647 0.8080236 ]
1,[0.09470249 0.9052975 ]
1,[0.13391484 0.8660852 ]
1,[0.19517824 0.8048217 ]
1,[0.11563877 0.8843612 ]
1,[0.11255403 0.887446  ]
1,[0.07903533 0.9209647 ]
1,[0.10117947 0.89882046]
1,[0.25542906 0.74457085]
1,[0.49635273 0.50364727]
1,[0.37582025 0.6241797 ]
1,[0.42014825 0.57985175]
1,[0.09247074 0.9075293 ]
1,[0.22508971 0.7749103 ]
1,[0.19643113 0.80356884]
1,[0.43144205 0.568558  ]
1,[0.3861375 0.6138625]
1,[0.3055152 0.6944848]
1,[0.07350647 0.9264936 ]
1,[0.0937342 0.9062658]
1,[0.25314483 0.74685514]
1,[0.10898248 0.8910175 ]
1,[0.1301674 0.8698326]
1,[0.22363114 0.77636886]
0,[0.51870304 0.48129693]
1,[0.24448562 0.7555143 ]
1,[0.26285332 0.73714674]
1,[0.36997542 0.6300247 ]
1,[0.42007726 0.5799227 ]
0,[0.6475948 0.3524052]
1,[0.4896215  0.51037854]
1,[0.13951598 0.860484  ]
1,[0.01565268 0.98434734]
1,[0.01588342 0.9841166 ]
1,[0.03922895 0.960771  ]
1,[0.04255824 0.9574418 ]
1,[0.05634885 0.9436512 ]
1,[0.02537207 0.9746279 ]
1,[0.05145487 0.94854516]
1,[0.03475587 0.96524405]
1,[0.01254401 0.9874559 ]
1,[0.1207054  0.87929463]
1,[0.0336281  0.96637195]
1,[0.00273257 0.9972675 ]
1,[0.2504305  0.74956954]
1,[0.30728015 0.6927198 ]
1,[0.00615807 0.9938419 ]
1,[0.00215032 0.9978497 ]
1,[0.00531208 0.9946879 ]
1,[0.01168675 0.98831326]
1,[0.01457897 0.985421  ]
1,[0.00684174 0.9931583 ]
1,[0.00165919 0.99834085]
1,[0.00040765 0.99959236]
1,[0.00040471 0.99959534]
1,[0.00114069 0.9988593 ]
1,[0.0006132 0.9993868]
1,[0.00047475 0.9995253 ]
1,[0.00061307 0.9993869 ]
1,[0.00094159 0.9990584 ]
1,[0.00102129 0.99897873]
1,[0.00044774 0.9995522 ]
1,[0.00160987 0.9983902 ]
1,[0.00069152 0.99930847]
1,[0.00016622 0.9998337 ]
1,[0.00038566 0.99961436]
1,[0.00154466 0.9984553 ]
1,[0.00050537 0.99949455]
1,[0.0008278 0.9991722]
1,[0.00138517 0.9986148 ]
1,[0.00084335 0.9991566 ]
1,[0.00183417 0.9981659 ]
1,[0.0012363 0.9987637]
1,[0.0010175 0.9989825]
1,[0.00086327 0.99913675]
1,[0.00084346 0.9991566 ]
1,[0.00189682 0.99810314]
1,[0.00147882 0.99852115]
1,[0.00000061 0.9999994 ]
1,[0.00000104 0.9999989 ]
1,[0.00235069 0.9976494 ]
0,[0.55878675 0.44121325]
1,[0.15927172 0.8407283 ]
1,[0.00626405 0.9937359 ]
1,[0.00090115 0.9990989 ]
1,[0.00113773 0.99886227]
1,[0.00225632 0.9977437 ]
1,[0.00853137 0.99146867]
1,[0.04502181 0.9549782 ]
1,[0.02951798 0.97048205]
1,[0.00970256 0.9902975 ]
1,[0.00985052 0.9901495 ]
1,[0.00772977 0.99227023]
1,[0.00311574 0.9968843 ]
1,[0.00264367 0.9973564 ]
1,[0.00231383 0.99768615]
1,[0.00365236 0.9963476 ]
1,[0.04170183 0.9582982 ]
1,[0.01629781 0.9837022 ]
1,[0.00925376 0.99074626]
1,[0.01180601 0.988194  ]
1,[0.01138435 0.9886156 ]
1,[0.00565594 0.9943441 ]
1,[0.00508332 0.9949167 ]
1,[0.00483526 0.99516475]
1,[0.00379526 0.9962048 ]
1,[0.00681645 0.99318355]
1,[0.02648725 0.9735128 ]
1,[0.16149533 0.8385047 ]
1,[0.3699629 0.6300371]
1,[0.49485722 0.5051427 ]
1,[0.4982145 0.5017856]
1,[0.38019425 0.61980575]
1,[0.351891   0.64810896]
1,[0.33314773 0.66685224]
1,[0.42559764 0.5744024 ]
1,[0.43061134 0.5693887 ]
1,[0.3630623 0.6369378]
0,[0.5079274  0.49207255]
0,[0.5861284  0.41387156]
0,[0.5033935  0.49660656]
0,[0.5060285 0.4939715]
1,[0.2635579 0.736442 ]
0,[0.688314 0.311686]
0,[0.78404146 0.2159585 ]
0,[0.5741812  0.42581883]
0,[0.5360612  0.46393874]
1,[0.36352882 0.6364712 ]
1,[0.35824373 0.6417563 ]
0,[0.5415519  0.45844817]
0,[0.61691725 0.38308266]
1,[0.26465303 0.735347  ]
1,[0.14906663 0.85093343]
1,[0.4919409  0.50805914]
1,[0.49422693 0.50577307]
1,[0.35688904 0.64311093]
1,[0.466643 0.533357]
1,[0.42930403 0.57069594]
0,[0.669702 0.330298]
0,[0.5555215  0.44447854]
1,[0.44049114 0.55950886]
1,[0.23294374 0.7670563 ]
1,[0.20708211 0.79291785]
1,[0.33759993 0.66240007]
1,[0.25825125 0.74174875]
1,[0.37190384 0.62809616]
1,[0.41932535 0.58067465]
1,[0.33238012 0.6676198 ]
0,[0.55674744 0.4432526 ]
0,[0.6003403  0.39965972]
1,[0.359134   0.64086604]
1,[0.13009277 0.86990726]
1,[0.22060046 0.7793996 ]
1,[0.3616673  0.63833266]
1,[0.2047394 0.7952606]
1,[0.00056734 0.9994326 ]
1,[0.00015061 0.9998493 ]
1,[0.00004096 0.999959  ]
1,[0.00002404 0.9999759 ]
1,[0.00000676 0.9999932 ]
1,[0.00002292 0.9999771 ]
1,[0.0000147  0.99998534]
1,[0.00027634 0.9997236 ]
1,[0.00001414 0.9999858 ]
1,[0.00000565 0.9999944 ]
1,[0.00030626 0.99969375]
1,[0.01961849 0.98038155]
1,[0.00007416 0.99992585]
1,[0.12000451 0.87999547]
1,[0.00901343 0.9909865 ]
1,[0.00000087 0.99999917]
1,[0.00000058 0.9999994 ]
1,[0.00000043 0.9999995 ]
1,[0.00000021 0.99999976]
1,[0.00000081 0.99999917]
1,[0.00000192 0.9999981 ]
1,[0.00000049 0.9999995 ]
1,[0.00000046 0.9999995 ]
1,[0.00000022 0.99999976]
1,[0.00013421 0.9998658 ]
1,[0.00022531 0.99977475]
1,[0.0000003  0.99999964]
1,[0.00000041 0.99999964]
1,[0.00000072 0.9999993 ]
1,[0.00000056 0.9999994 ]
1,[0.00000035 0.99999964]
1,[0.00000014 0.9999999 ]
1,[0.00000009 0.9999999 ]
1,[0.00000041 0.99999964]
1,[0.00000256 0.9999975 ]
1,[0.00000006 1.        ]
1,[0.00000121 0.9999988 ]
1,[0.00000006 1.        ]
1,[0. 1.]
1,[0.00000001 1.        ]
1,[0.00000001 1.        ]
1,[0.00000056 0.9999994 ]
1,[0.00000265 0.9999974 ]
1,[0.00000262 0.9999974 ]
1,[0.00000054 0.9999995 ]
1,[0.00000034 0.99999964]
1,[0.00000695 0.9999931 ]
1,[0.00000396 0.99999607]
1,[0.00000155 0.99999845]
1,[0.00000025 0.99999976]
1,[0.00000007 0.9999999 ]
1,[0.00000021 0.99999976]
1,[0.00000076 0.9999993 ]
1,[0.00000014 0.9999999 ]
1,[0.00000023 0.99999976]
1,[0.00000034 0.99999964]
1,[0.00000035 0.99999964]
1,[0.00000045 0.9999995 ]
1,[0.00000747 0.9999925 ]
1,[0.0000105 0.9999895]
1,[0.00004138 0.99995863]
1,[0.00000216 0.99999785]
1,[0.00000038 0.99999964]
1,[0.00000033 0.99999964]
1,[0.00000418 0.9999958 ]
1,[0.0029772 0.9970228]
1,[0.00079109 0.999209  ]
1,[0.00016269 0.9998373 ]
1,[0.00540461 0.99459535]
1,[0.00321533 0.9967847 ]
1,[0.00573174 0.9942683 ]
1,[0.00195418 0.9980458 ]
1,[0.00752132 0.9924786 ]
1,[0.00581085 0.99418914]
1,[0.00404831 0.99595165]
1,[0.01763812 0.98236185]
1,[0.01350461 0.9864954 ]
1,[0.00225368 0.9977463 ]
1,[0.00326471 0.9967353 ]
1,[0.00109964 0.9989003 ]
1,[0.00389532 0.9961047 ]
1,[0.00018785 0.9998122 ]
1,[0.0004 0.9996]
1,[0.00029028 0.99970967]
1,[0.00042159 0.9995784 ]
1,[0.00029037 0.99970955]
1,[0.00031798 0.99968207]
1,[0.00019156 0.9998085 ]
1,[0.0007002  0.99929976]
1,[0.00116955 0.9988305 ]
1,[0.0050657  0.99493426]
1,[0.00115937 0.99884063]
1,[0.00038537 0.9996146 ]
1,[0.00930107 0.9906989 ]
1,[0.00170722 0.99829274]
1,[0.0046443 0.9953557]
1,[0.00022599 0.99977404]
1,[0.00583867 0.9941613 ]
1,[0.0192737 0.9807263]
1,[0.00242784 0.9975721 ]
1,[0.00602449 0.9939756 ]
1,[0.01669846 0.9833015 ]
1,[0.00309496 0.996905  ]
1,[0.00396977 0.99603015]
1,[0.01226464 0.98773533]
1,[0.00859645 0.9914035 ]
1,[0.01511799 0.98488194]
1,[0.00273545 0.9972645 ]
1,[0.00942723 0.99057275]
1,[0.00159083 0.9984092 ]
1,[0.00296666 0.99703336]
1,[0.00020847 0.99979156]
1,[0.00063149 0.9993685 ]
1,[0.00738809 0.99261194]
1,[0.00276381 0.9972362 ]
1,[0.01012673 0.9898733 ]
1,[0.01628177 0.9837182 ]
1,[0.00888741 0.99111253]
1,[0.01971487 0.98028517]
1,[0.00634508 0.99365497]
1,[0.00457688 0.99542314]
1,[0.00191064 0.9980894 ]
1,[0.00001824 0.99998176]
1,[0.00000037 0.99999964]
1,[0.00007223 0.99992776]
1,[0.00000148 0.99999857]
1,[0.00002404 0.9999759 ]
1,[0.00000142 0.99999857]
1,[0.00000064 0.9999994 ]
1,[0.00000311 0.9999969 ]
1,[0.00000624 0.9999938 ]
1,[0.00000261 0.9999974 ]
1,[0.0000004  0.99999964]
1,[0.00000036 0.99999964]
1,[0.00000014 0.9999999 ]
1,[0.00000012 0.9999999 ]
1,[0.00000008 0.9999999 ]
1,[0.00000005 1.        ]
1,[0.00000001 1.        ]
1,[0.00000002 1.        ]
1,[0.00000003 1.        ]
1,[0.00000056 0.9999994 ]
1,[0.00000087 0.99999917]
1,[0.00000133 0.9999987 ]
1,[0.00000373 0.9999963 ]
1,[0.00000391 0.99999607]
1,[0.00000544 0.9999945 ]
1,[0.00001767 0.99998236]
1,[0.0000076 0.9999924]
1,[0.00001069 0.9999893 ]
1,[0.00002708 0.99997294]
