"0 nothing
","1 someone
",
"1","0.0002106887",0.9997893
"1","0.011248379",0.9887516
"1","0.037157226",0.9628428
"0","0.7057073",0.29429272
"1","0.22976774",0.77023226
"0","0.856586",0.14341404
"0","0.9320656",0.06793437
"0","0.70897007",0.29102996
"0","0.8542223",0.14577772
"0","0.8365498",0.16345012
"0","0.543565",0.45643497
"0","0.7049393",0.2950607
"1","0.2429094",0.7570906
"1","0.29869568",0.7013043
"1","0.062149536",0.9378505
"0","0.5509452",0.4490548
"1","0.13185465",0.86814535
"1","0.0015025653",0.9984975
"1","0.00038858512",0.99961144
"1","0.01335545",0.98664457
"1","0.111250356",0.8887497
"0","0.7211745",0.27882546
"1","0.09284258",0.9071574
"1","0.029663667",0.9703363
"1","0.031542882",0.9684571
"1","0.48741826",0.51258177
"1","0.26190194",0.738098
"0","0.57171476",0.42828524
"1","0.34671932",0.65328074
"0","0.59030384",0.4096962
"1","0.42422152",0.5757785
"1","0.20500702",0.7949929
"1","0.38624972",0.6137503
"1","0.0126263695",0.98737365
"1","0.061731093",0.9382689
"1","0.43799782",0.56200224
"1","0.06394852",0.9360515
"1","0.26323104",0.736769
"0","0.6012905",0.39870945
"1","0.06855519",0.9314448
"1","0.00017309247",0.99982697
"1","0.0022450136",0.997755
"1","0.00785476",0.99214524
"1","7.625597e-05",0.9999237
"1","0.0037289155",0.99627113
"1","0.0007907343",0.9992093
"1","6.4325072e-06",0.99999356
"1","2.0968975e-05",0.999979
"1","4.1100306e-05",0.9999589
"1","3.5491237e-05",0.9999645
"1","0.032062232",0.9679378
"1","0.072147846",0.9278521
"1","0.07298866",0.9270113
"1","0.40584734",0.5941526
"1","0.2653083",0.73469174
"1","0.3997893",0.6002108
"1","0.050973408",0.9490265
"1","0.26418972",0.7358103
"1","0.012654501",0.9873455
"1","0.00370825",0.99629176
"1","0.058261048",0.941739
"1","0.12874413",0.8712558
"0","0.5739504",0.42604962
